제목,작성일,본문,상세 링크,이미지 파일 경로
도서관 전체정전 안내,2014년 02월 11일,"도서관전체 정전안내

한국전력 강원본부에서 우리대학 전력을 공급하는 인입 개폐기 불량에 따른 공사로 인하여 부득이
춘천캠퍼스 전체가 정전됨을 알려드리니 도서관 이용에 착오없으시기 바랍니다.

1. 정전일시 :2014년 2월 22일 (토)
2. 정전시간 : 10 : 00 ~ 12 : 00 (2시간)
3. 정전범위 :중앙도서관 및 별관도서관 전체

담당문의 : 시설관리과 정동선(250-7067)
한국전력 전력공급팀 최수형(259-2232)
",https://library.kangwon.ac.kr/community/bulletin/notice/20360?max=100&offset=1800&bulletinCategoryId=1,
RISS E-DDS(해외논문구매대행) 2014년 비용지원 서비스 안내,2014년 02월 06일,"RISS에서 제공하고 있는 해외논문 구매대행(E-DDS) 서비스의 해외자료 입수부담 경감 및 이용편의성 제고를 통한 국가 연구경쟁력 향상을 위해 아래와 같이 매년 비용지원 서비스를 실시하고 있으니 많은 관심 바랍니다.
● 지원기간 : 2014. 1. 27.(월) ~ 2014. 12. 12.(금)
* 신청일 기준이며 배정된 예산에 따라 지원기간은 일부 조정될 수 있습니다.
● 지원대상 : 해외논문구매대행(E-DDS) 비용지원 서비스에 기 등록한 고객 및 신규 등록 고객
지원 비용 등 더 자세한 사항은 아래 링크를 이용하여 참고하시기 바랍니다.
http://www.riss.kr/NoticeDetailView.do?id=b5af2ebd569fce5c

* 문의 - 중앙도서관 원문복사서비스 담당자 (033-250-8025, sojoo09@kangwon.ac.kr)

",https://library.kangwon.ac.kr/community/bulletin/notice/20359?max=100&offset=1800&bulletinCategoryId=1,
[미대사관 프로그램 초청] PA February Movie Night - 33rd American Cinema Evenings (제 33회 대사관 영화 토론 - 2월 행사)에 초대합니다.,2014년 02월 05일,"안녕하십니까?주한미국대사관 아메리칸센터 (ACK) 입니다.

미국 외교관과 함께하는AmericanCinemaEvenings (ACE, 대사관 영화 토론) 행사 participant로 귀하 또는 귀교의 학생을 초대합니다.2월 21일 (금요일)에 열리는 이번 프로그램은 Mark A. Canning 주한미국대사관 외교관을 모시고 &ldquo;Cultural Traditions&rdquo;를 주제로Groundhog Day (1993) 영화 감상과 함께 관련 주제로 토론을 할 예정입니다.
2월 행사안내

날자:2014년 2월 21일 금요일 오후 17:00 &ndash; 19:00
장소:용산구 남영동 주한미국대사관 공보과 아메리칸센터 (ACK) -(약도첨부참조)
연사: Mark A. Canning, U.S. Embassy Diplomat
주제: Cultural Traditions
영화:Groundhog Day (1993)
RSVP : 반드시 필요합니다.
* 행사 당일오후 4시45분까지 행사장 도착을 부탁합니다.

참가신청:참가비는 무료이며 신청은 오시는 분의성함/대학교/학과 (또는 소속)/이메일/연락처를2월 18일 (화요일)까지AmericanCenterKorea@state.gov와ACKSeoul@gmail.com으로신청해주시면 됩니다. 이메일 제목란에 &ldquo;2/21 ACE 참가 신청&rdquo;으로 기재 부탁합니다. 좌석수의 제한으로 &ldquo;first-come, first-served&rdquo;로 RSVP 받습니다.


이름(영문)
이름(한글)
학교/과
이메일
핸드폰/연락처















",https://library.kangwon.ac.kr/community/bulletin/notice/20358?max=100&offset=1800&bulletinCategoryId=1,
"[미국대사관초청 유학설명회] EducationUSA Seminar &quot;미국 유학에 관한 모든 것&quot; (February 24, 2:00 p.m.)",2014년 02월 05일,"안녕하십니까?주한미국대사관 아메리칸센터입니다.
미대사관 아메리칸센터 (American Center Korea)는 2월 24일(월) 주한미국대사관 공보과 주최EducationUSA Seminar에 참여를 원하는 분을 모집합니다.2월 24일(월) 오후 2시에 열리는 이번 미국 유학 설명회-EducationUSA Seminar에서는 풀브라이트한미교육위원단 교육상담자, 주한미국대사관 영사 및 WEST 프로그램 참가연사 등을 모시고&ldquo;미국 유학에 관한 모든 것&rdquo;을 주제로 설명회를 진행할 예정입니다. 미국 유학 및 영어공부에 관심있는 한국 대학생 및 대학원생 분들의 적극적인 참여를 부탁드립니다.
부탁말씀: 학교 게시판 및 홈페이지에 공지 및 주변의 관심있는 학생분들께 널리 홍보해주시면 감사하겠습니다.
참가신청:참가비는 무료이고 RSVP는 필수입니다.(참가자격: 대학생/대학원생)
[참가신청: RSVP Required]If you would like to attend, please RSVP by email toAmericanCenterKorea@State.Gov[RSVP Email Title]: 2/19 EducationUSA-RSVP(참가신청 이메일 양식)참가를 원하는 학생은2/19일(수)오후3시까지 이메일로 신청하세요.선착순으로 받고 있습니다.


(참가양식-아래참조)

Name(in English)
Name(in Korean)
School(in English)
Major(in English)
Email
Cell Phone
Nationality(for foreigners only)





















",https://library.kangwon.ac.kr/community/bulletin/notice/20357?max=100&offset=1800&bulletinCategoryId=1,
설 명절 도서관 휴관 공고,2014년 01월 24일,"설 명절도서관휴관공고

민속명절 설날을 맞이하여중앙도서관 전체(별관 일반열람실 포함)을
아래와 같이 휴관하오니 도서관 이용에 참고하시기 바랍니다.

- 휴관일 :2014. 1. 31.(금)
- 휴관실 :중앙도서관, 별관 전체

중 앙 도 서 관 장",https://library.kangwon.ac.kr/community/bulletin/notice/20356?max=100&offset=1800&bulletinCategoryId=1,
정보검색실 이용 중단 안내,2014년 01월 15일,"

중단사유 : 정보검색실 시스템 업그레이드 작업
중단대상 : 중앙도서관 2층 정보검색실
중단일시 : 2014.1.20 (정문 30대) 1일
2014.1.21 (후문 29대)1일
2014.1.22 (정,후문 59대 )1일

학술정보운영과",https://library.kangwon.ac.kr/community/bulletin/notice/20355?max=100&offset=1800&bulletinCategoryId=1,
학위논문원문 온라인 접수 시간 변경안내,2014년 01월 08일,"학위논문원문 온라인 접수 시간 변경안내
중앙도서관에서는 학위논문 원문 온라인 접수 시스템 장애로 인한 접수마감시간 다음과 같이 변경하기로 하였으니 이용에참고하시기 바랍니다.
변경사유 : 시스템장애 상황 발생으로 마감시간 연장
접수시간 : 2014년 1월 8일 23:00 까지 (접수시간 개시 18:00 부터)

",https://library.kangwon.ac.kr/community/bulletin/notice/20353?max=100&offset=1800&bulletinCategoryId=1,
중앙도서관 동계 대청소 안내,2014년 01월 07일,,https://library.kangwon.ac.kr/community/bulletin/notice/20352?max=100&offset=1800&bulletinCategoryId=1,data/images/543b1ec7a9a0e0a6b76935c017888701.jpg
2014년 2월 졸업예정자(수료생포함) 대출중지 안내,2014년 01월 03일,"2014년 2월 졸업예정자(수료생포함) 대출중지 안내


1. 근 거 : 강원대학교 부속 중앙도서관 규정 제14조 3항
2. 대 상 : 2014년 2월 21일 졸업예정자
※미반납시 교내 각종 제증명발급 중지
3. 대출중지일 :2014년 1월 21일부터 대출 중지
기대출도서는2014년 2월 11일까지반납(미반납시 추후 해당학과로 통보조치)
4. 졸업예정자 중 본교 상위과정 진학자는 등록금 납부영수증을 제시하면 대출이 가능합니다.
5. 대학원수료생은 2층 정보봉사실에서 수료생회원 가입 후 대출이 가능합니다.
",https://library.kangwon.ac.kr/community/bulletin/notice/20351?max=100&offset=1800&bulletinCategoryId=1,
일반열람실 휴실안내,2013년 12월 27일,"일반열람실휴실안내

겨울방학을 맞이하여 정부의 동절기 공공기간 에너지절약 시책에 적극 참여하고,
일반열람실의 효율적 이용을 위하여아래와 같이
일반열람실을 휴실하오니 이용에 착오없으시기 바랍니다.

1. 기 간 : 2013.12. 28. ~ 2014. 2. 28.
2. 대 상 :집현관 제2열람실(5층)

* 이용율이 상승할 경우 언제라도 추가 개방할 예정이며,
좌석시간 자리를 장시간 비우는 행위를 삼가해 주시기 바랍니다.

중 앙 도 서 관 장",https://library.kangwon.ac.kr/community/bulletin/notice/20350?max=100&offset=1800&bulletinCategoryId=1,
논문작성을 도와주는 Refworks 안내,2013년 12월 11일,"도서관에서는교내 이용자들의 효율적인 학습 및 연구활동을 지원하기 위하여 아래와 같이논문작성에 필요한  참고문헌관리 도구인 Refworks 이용방법을 소개하고자 하오니 많은참여 바랍니다.
1. 강좌명: Refworks를 활용한 논문작성법
2. 내용 : 논문작성을 위한 참고자료 검색, 관리, 인용 방법
3.일정:2013년 12월 18일(수) 11:00~12:00
4.장소:중앙도서관 4층 401호(이용교육실)
5.강좌 신청 방법
가.신청바로가기
나. 도서관 홈 - 강의연구지원서비스의 도서관 이용교육 - 교육일정 - 해당교육 신청
6. 문의 :☎250-8025(담당: 이월계)",https://library.kangwon.ac.kr/community/bulletin/notice/20348?max=100&offset=1800&bulletinCategoryId=1,
제1회 책 나눔 행사 안내,2013년 12월 09일,"- 중앙도서관과 교직원 학습동아리 &lt;글로벌21&gt;에서는 아래와 같이
책 나눔 행사를하오니 많은 이용 바랍니다.

가. 목적 : 학술정보 교류와 이용자와 함께하는 Green 도서관 만들기
나. 일 시 : 2013.12.11(수) ~ 13(금)
※기증도서 품절시 행사가 일찍 종료될 수 있음
나. 장 소 : 중앙도서관 2층 로비
다. 도 서 :약 1,500권(국내외 교양 및 전문서적)
라. 참여대상 : 본교 학생 및 교직원

-지속적인 도서나눔을 위하여 기증도서 수집함을 비치(도서관 2층 비치예정)하여
상시 기증을 받을 예정이오니 교직원 및 학생 여러분들의 많은 참여 바랍니다.
문의 : 학술정보지원과(250-811, 8007)",https://library.kangwon.ac.kr/community/bulletin/notice/20347?max=100&offset=1800&bulletinCategoryId=1,
기말고사 기간 도서관 열람실 연장개방,2013년 12월 05일,"도서관 열람실연장 개방안내

2013학년도 2학기 기말고사 기간동안 일반열람실을
아래와 같이 연장개방하오니 이용에 참고하시기 바랍니다.

1. 기간 : 12월 12일 ~ 12월 26일
2. 시간 : 06시 ~ 익일 02시
3. 대상 : 중앙도서관 일반 열람실 전체
(단, 별관열람실은 24시간 개방)
4. 위 기간동안도서관회원제 회원의 일반열람실 이용이 제한됩니다.

중 앙 도 서 관 장
",https://library.kangwon.ac.kr/community/bulletin/notice/20346?max=100&offset=1800&bulletinCategoryId=1,
백령시네마 12월 영화 상영 안내,2013년 11월 29일,"백령시네마 12월 상영 영화 안내 입니다.(붙임자료 참조)
이번달은 크리스마스가 있어 크리스마스 특선 영화 4편을 준비했습니다.
많은 관람 바랍니다.
일시 : 매주 화, 목요일 오후 2시
장소 : 중앙도서관 4층 멀티미디어실
12월 3일(화) 빌리 엘리어트
12월 5일(목) 아이언 맨
12월 10일(화) 피아니스트의 전설
12월 12일(목) 킹덤 오브 헤븐
12월 17일(화)8월의 크리스마스(크리스마스 특선 1)
12월 19일(목) 오페라의 유령
12월 24일(화)벤허(크리스마스 특선 2)
12월 26일(목)미션 (크리스마스 특선 3)
12월 31일(화) 로맨틱 홀리데이(크리스마스 특선 4)",https://library.kangwon.ac.kr/community/bulletin/notice/20345?max=100&offset=1800&bulletinCategoryId=1,
도서관 전체 정전안내,2013년 11월 28일,"도서관전체 정전안내

시설관리과에서 실시하는 법정 전기설비 정기검사의 날로 인하여도서관 전체 정전이발생하여
아래와 같이 이용안내 하오니 착오없으시기 바랍니다.

1. 정전일시 :2013년 12월 7일 (토)
2. 정전시간 : 09 : 00 ~ 11 : 00 (2시간)
3. 정전범위 :중앙도서관 및 별관도서관 전체
4. 휴실대상 : 5층 장서실 토요근무 휴무

문의 : 시설관리과 정동선(250-7067, 6113)
정보봉사실(250-8019)",https://library.kangwon.ac.kr/community/bulletin/notice/20344?max=100&offset=1800&bulletinCategoryId=1,
집현관 엘리베이터 정상작동 안내,2013년 11월 13일,"집현관 승강기의 점검 수리가 완료되어
현재 정상 작동되고 있습니다.
그동안 승강기 작동 중지에 따른 불편을 양해하여 주셔서
감사드립니다.

학술정보지원과



",https://library.kangwon.ac.kr/community/bulletin/notice/20343?max=100&offset=1800&bulletinCategoryId=1,
"[미대사관 초청장] American Cultural Series-Thanksgiving Day 2013 (November 22, 2013, 10:00 a.m. - 15:00 p.m.)",2013년 11월 13일,"

Program Schedule:
09:30~10:00 Registration and Film Screening on Thanksgiving Day
10:00~10:15 Opening and Introduction of American Center by Dr. Kim Su Nam, ACK Director
10:15~10:25 Welcome remarks by Mr. Alexei Kral, Deputy Public Affairs Officer
10:30~11:30 Presentation on Thanksgiving Day in the United States by U.S. Embassy Representative
11:30~12:00Thanksgiving Trivia Competition
12:00~13:00 Traditional Thanksgiving Day Lunch
13:00~14:00 Presentation on Job Interview Skills by Eunice YooJung Ha, Public Affairs Assistant, Followed by Mock Interview Practice Session
14:00~15:00 Student Participatory Activity with Youth Coordinators
15:00  End of Program

* 행사 당일오전 9시 30분까지 남영동 소재 주한미국대사관 아메리칸센터 (ACK)에 입장해 주시기를 부탁합니다 (첨부 약도 참조).

참가신청:참가비는 무료이고",https://library.kangwon.ac.kr/community/bulletin/notice/20342?max=100&offset=1800&bulletinCategoryId=1,data/images/88aa607d5d2c989eeecea416478cd909.jpg
[미대사관 프로그램 초청] PA September Movie Night - 30th American Cinema Evenings (제 30회 대사관 영화 토론 - 11월 행사)에 초대합니다.,2013년 11월 12일,"미국 외교관과 함께하는AmericanCinemaEvenings (ACE, 대사관 영화 토론) 행사 participant로 귀하 또는 귀교의 학생을 초대합니다.11월 29일 (금요일)에 열리는 이번 프로그램은Ms. Katelyn Maggie Choe 주한미국대사관 외교관을 모시고 &ldquo;Julia Child! America&rsquo;s Favorite Chef&rdquo;을 주제로 Julie and Julia 영화 감상과 함께 관련 주제로 토론을 할 예정입니다.
ACE 영화 프로그램은 매달 국제관계, 지역현안, 역사, 미국학, 문학, 환경, 인터넷, 현대공연예술 등 다양한 주제를 놓고서 미국 외교관과 영화 감상 후 영어로 함께 토론하는 행사입니다. 이 행사는 다양한 주제에 관한 지식도 쌓고, 영어 실력도 높이면서 글로벌 체험을 하는 좋은 기회를 한국 대학생들에게 드리기 위해 기획되었습니다.관심있는 대학생의 많은 관심과 참여를 바랍니다.ACE 영화토론 행사는 미국대사관 아메리칸센터에서 매달 정기적으로 개최됩니다..
11월 행사안내

날자:2013년 11월 29일 금요일 오후 17:00 &ndash; 19:00
장소:용산구 남영동 주한미국대사관 공보과 아메리칸센터 (ACK) -(약도첨부참조)
연사: Ms. Katelyn Maggie Choe, Financial Management Officer, U..S. Embassy Seoul
주제: Julia Child! America&rsquo;s Favorite Chef
영화:Julie and Julia
RSVP : 반드시 필요합니다.
* 행사 당일오후 4시45분까지 행사장 도착을 부탁합니다.

참가신청:참가비는 무료이며 신청은 오시는 분의성함/대학교/학과 (또는 소속)/이메일/연락처를11월 25일 (월요일)까지AmericanCenterKorea@state.gov와ACKSeoul@gmail.com으로신청해주시면 됩니다. 이메일 제목란에 &ldquo;11/29 ACE 참가 신청&rdquo;으로 기재 부탁합니다. 좌석수의 제한으로 &ldquo;first-come, first-served&rdquo;로 RSVP 받습니다.


이름(영문)
이름(한글)
학교/과
이메일
핸드폰/연락처

",https://library.kangwon.ac.kr/community/bulletin/notice/20341?max=100&offset=1800&bulletinCategoryId=1,
"[미대사관 초청장] 2013년 ‘존 F. 케네디 대통령 서거 50주년’ 기념 외교관 특별강연 행사 (11월 25일 월요일, 오후 3시-4시30분)",2013년 11월 12일,"안녕하십니까?주한미국대사관에서 2013년 &lsquo;존 F. 케네디 대통령 서거 50주년&rsquo; 을 기념하는 외교관 특별강연 행사에 여러분을 초청합니다.


주한미국대사관은 미국문화에 관심 있는 한국 대학생들에게 미국의 문화를 소개하고 만남의 시간을 갖기 위하여 미국의 국경일과 기념일에 외교관을 초청하여 강연을 듣는 행사를 갖습니다.

오는11월 25일(월) 오후3시부터 주한미국대사관 영사과Michael Mitchell외교관을 모시고 미국 역사에서의 &lsquo;존 F. 케네디 대통령 서거 50주년&rsquo;의미를 살펴보고 관련하여 강의가 진행될 예정입니다. 존 F. 케네대 대통령에 관해서 배울 수 있는 좋은 기회인 관계로 관심있는 한국 대학생 및 대학원생 분들의 적극적인 참여를 부탁드립니다.


부탁말씀: 학교 게시판 및 홈페이지에 공지 및 주변의 관심있는 학생분들께 널리 홍보해주시면 감사하겠습니다.
참가신청

참가비는 무료이며 신청은 이메일로 오시는 분의 성함과 학교/학과 (또는 소속), 이메일, 핸드폰번호 (아래 양식 참조)를11월 19일 화요일까지 주한미국대사관 공보과 이메일AmericanCenterKorea@state..gov및ACKSeoul@gmail.com으로 신청하시면 됩니다.

[RSVP Email Title]: 11/25-MSP RSVP

Name(in English)
Name(in Korean)
School(in English)
Major(in English)
Email
Cell Phone
Nationality(for foreigners only)








이메일 제목란에 &ldquo;11/25 MSP RSVP&rdquo;이라고 반드시 기재 부탁합니다. 좌석수의 제한으로 &ldquo;first come, first served&rdquo;로 RSVP 받습니다.
* 원할한 행사 진행을 위해 당일 오후 14시 30분까지 행사장 도착을 부탁 드립니다.",https://library.kangwon.ac.kr/community/bulletin/notice/20340?max=100&offset=1800&bulletinCategoryId=1,
연구동향정보와 주제별가이드 서비스 안내,2013년 11월 07일,"중앙도서관에서는 학내 구성원의 연구 및 학습에 도움이 되는참고정보원을제공하기 위하여 연구동향정보와 주제별 가이드를 제작하여 서비스하고 있습니다.
이번 학기에 처음 실시하는 서비스로 주제별 연구자들과의 피드백을 통하여 지속적인 업데이트를 하려고 하오니 많은 관심과 이용 바랍니다.
연구동향정보란?
연구역량강화를 위한 객관적 지표를 제공하는 페이지로 연구동향뉴스, 강원대 SCI논문, SCI(E)/SSCI/A&amp;HCI, Scopus, KCI 등재학술지검색, 각종 학술지의 평가지표 등을 제공합니다.
&diams; 이용방법 :도서관홈페이지메인화면의 연구동향정보 아이콘 클릭
주제별 가이드란?
연구나 과제를 수행하거나 논문 작성에 앞서 특정 주제에 대해서 참고할 수 있는 정보원을 자료 유형별로 안내한 것입니다.
&diams; 제공 분야(2013년 11월 6일 기준)
대주제
소주제(제공 중)
소주제(제공 예정)
인문과학
국어국문, 역사, 철학, 중어중문,
영어영문, 독어독문

사회과학
사회
행정/정치, 신문방송, 심리, 인류
경영학
경영, 경제
무역, 회계
교육학
교육

자연과학
환경
물리, 화학, 수학, 지질
공학
기계, 토목
건축, 전기, 전자
농학/임학
농학/임학

예술/체육

무용, 음악, 미술, 스포츠
생명공학
생명공학(외국학술지지원센터)

&diams; 이용방법 :도서관홈페이지메인화면의 주제별가이드 아이콘 클릭
&diams; 가이드에 대한 내용수정이나 기타 문의사항
☎ 250-8025 (강의연구지원서비스팀:이월계, 주순옥)",https://library.kangwon.ac.kr/community/bulletin/notice/20339?max=100&offset=1800&bulletinCategoryId=1,
논문작성법과 연구동향정보 알아보기,2013년 11월 06일,"도서관에서는교내 이용자들의 효율적인 학습 및 연구활동을 지원하기 위하여 아래와 같이해외 데이타베이스를 소개하고자 하오니 많은 관심과참여 바랍니다.
1. 강좌내용
11월 12일(화)
14:00-15:00
- SCI(E)급 저널을 평가, 분석
- 핵심저널의 인용정보로 논문 의 영향력판단
- 논문의 인용/피인용 관계로 연구동향파악
- 논문 사이의 연관 관계 파악
11월 12일(화)
15:00-15:40
- Impact factor확인방법
- 분야별 핵심저널알아보기
15:40-16:00
2.강좌 신청 방법
가.신청바로가기
나. 도서관 홈 - 강의연구지원서비스의 도서관 이용교육 - 교육일정 - 해당교육 신청
3. 문의 :☎250-8025(담당: 이월계)",https://library.kangwon.ac.kr/community/bulletin/notice/20338?max=100&offset=1800&bulletinCategoryId=1,
백령시네마 11월 상영 영화 안내,2013년 11월 01일,"이 가을에 영화 한편 어때요?
상영관에서 놓친 멋진 영화를 도서관에서 무료로 즐기십시요.
상영을 원하는 영화도 추천받습니다.
정기상영은 일반인 이용도 가능하니주위 분들에게 알려주세요.
정기상영일 : 매주 화, 목요일 1400~
11 정기상영 일정(첨부물 참조)",https://library.kangwon.ac.kr/community/bulletin/notice/20336?max=100&offset=1800&bulletinCategoryId=1,
독서캠프 참가자 모집(선착순4명),2013년 11월 01일,"중앙도서관에서는 KNU독서명인프로젝트의 일환인
독서캠프-작가와 함께하는 인문학기행- 참가자를 추가모집합니다.
이번 행사는 오정희 작가의 중국인거리의 배경지인 인천 차이나 타운과
조완선 작가의 외규장각 도서의 비밀인 강화도를 탐방합니다.
또한 오정희 작가가 저희와 동행해서 작품 설명 및 배경지에 대한 안내를 해주실것 입니다
학생들의 많은 참여 바랍니다.
참여자에게는 해당 도서(중국인거리, 외규장각 도서의 비밀)를 증정해 드립니다.
자격 : 본교 재적생(재학생, 휴학생, 졸업유보생)
기간 : 2013. 11.7.(목)~8.(금)(일정표 첨부물 참조)
집결 : 11월 7일 08:30 도서관 뒤 주차장 집결
접수일시 : ~ 11월 4일 18:00 까지
접수인원 : 4명(선착순)
접수방법 : 멀티미디어실 내방 또는 첨부양식 작성후 직접 제출
접수처 : 중앙도서관 4층 멀티미디어실(담당 이명숙 250-8013)",https://library.kangwon.ac.kr/community/bulletin/notice/20335?max=100&offset=1800&bulletinCategoryId=1,
일반열람실 개관시간 변경,2013년 10월 29일,"도서관 일반열람실개관시간변경안내

동절기를 맞이하여11월1일부터중앙도서관 및 별관도서관 제2열람실
개관시간이 변경되오니 착오 없으시기 바랍니다.

- 기존 : 05:00 ~ 24:00
- 변경 : 06:00 ~ 24:00
* 자료열람실은 기존 9시부터 개관

중 앙 도 서 관 장",https://library.kangwon.ac.kr/community/bulletin/notice/20334?max=100&offset=1800&bulletinCategoryId=1,
11,2013년 10월 26일,11,https://library.kangwon.ac.kr/community/bulletin/notice/20333?max=100&offset=1800&bulletinCategoryId=1,
논문작성을 도와주는 Refworks 안내,2013년 10월 22일,"도서관에서는교내 이용자들의 효율적인 학습 및 연구활동을 지원하기 위하여 아래와 같이논문작성에 필요한 참고문헌관리 도구인 Refworks 이용방법을 소개하고자 하오니 많은참여 바랍니다.
(기존에 공지된 23일 강의는 취소)
1. 강좌명: Refworks를 활용한 논문작성법
2. 내용 : 논문작성을 위한 참고자료 검색, 관리, 인용 방법
3.일정:2013년 10월 30일(수) 15:00~16:00
4.장소:중앙도서관 4층 401호(이용교육실)
5.강좌 신청 방법
가.신청바로가기
나. 도서관 홈 - 강의연구지원서비스의 도서관 이용교육 - 교육일정 - 해당교육 신청
6. 문의 :☎250-8025(담당: 이월계)",https://library.kangwon.ac.kr/community/bulletin/notice/20332?max=100&offset=1800&bulletinCategoryId=1,
"선행연구, 연구업적, 연구동향 조사를 도와드립니다.",2013년 10월 17일,"도서관에서는 교내이용자들 효율적인 학습 및 연구활동을 지원하기 위하여 학술 저널의 인용 및 피인용정보, 평가정보, 연구자별 논문현황, Impact Factor를 제공하는 Database에 대하여 소개하고자 합니다.
특정 주제의 연구현황이나 동향, 연구자 개인의 연구실적, 선행연구조사를할 수 있어 학술연구에 유용한 DB이오니많은 관심과 참여 바랍니다.
* 특강명 : SCOPUS(과학기술, 의학, 사회과학 분야 인용색인 데이타베이스)
* 특강일정
- 일시 : 2013년 10월 22일(화) 15:00 -16:00
- 장소 : 도서관 401호
* 데이타베이스의 특징
- 19,500 여종의저널, 460만건의 회의자료 수록
- Web of science 등재저널의 92% 등재
- 특정저자나 기관의 동향파악
- 연구주제 선정, 투고저널 선정에 활용 가능
* 특강신청방법
-신청바로가기- 정규교육 - 해당 강좌 신청하기
- 도서관홈 &rarr; 강의연구지원서비스의 도서관 이용교육 &rarr; 교육일정&rarr;해당강좌신청
* 전화문의: ☎250-8025 이월계
",https://library.kangwon.ac.kr/community/bulletin/notice/20331?max=100&offset=1800&bulletinCategoryId=1,
집현관 승강기 공사 중 운행정지 안내,2013년 10월 15일,"
집현관 승강기운행 중지 알림

집현관 승강기의 안전을 위한 수리공사 기간 중 승강기
운행이중지되니 이용에 참고하시기 바랍니다.

공사기간 : 2013.10.14 ~ 2013.11.13

문의 : 시설과 (T. 250-7080)

",https://library.kangwon.ac.kr/community/bulletin/notice/20329?max=100&offset=1800&bulletinCategoryId=1,
제2회 총장배 독서토론대회 본선 진출팀 발표,2013년 10월 14일,"제2회 총장배 독서토론대회 예선 심사 결과를 다음과 같이 발표합니다.

예선심사 : 2013. 10. 10. 16:00 ~ 19:00
참 가 팀 : 19개팀
본선진출팀 : 금탑#305, 놈놈놈, 세로토론, 으르렁,
책늘품, 카이로스, 토란토란, 토론토(이상 8개팀)
본선 대진표 추첨 및 주제발표 : 2013. 10. 15. 오후 6시10분
장 소 : 중앙도서관 4층 멀티미디어실
- 본선 대진표 추첨은 팀별로 1명만 참석해도 되며시간 엄수바랍니다.
- 예선전 참가팀은 독서토론 도서 수령해 가시기 바랍니다.
- 예선전에 참가하신 모든 분들께 감사드립니다.",https://library.kangwon.ac.kr/community/bulletin/notice/20328?max=100&offset=1800&bulletinCategoryId=1,
"통계, 여론조사, 설문조사 자료활용법",2013년 10월 10일,"중앙도서관에서는 국내외 통계자료,국내여론조사자료, 통계 항목 검색 서비스를 제공하는 한국사회과학데이터센터(KSDC) 데이터베이스를 소개하고자 특강을 개최하오니 많은 관심과 참여바랍니다. 특히 사회과학이나 교육학을 전공하시는 분들에게 유용할 것 같습니다.
1. 특강명 : KSDC
2. 일시 :2013년 10월 16일(수) 오후3시-4시
3. 장소 :도서관 4층 멀티미디어실(401호)
4. 특강신청방법
가.신청바로가기
나.도서관홈페이지-온라인봉사실의도서관이용교육-정규교육-해당강좌신청
5. 문의 : 250-8025 이월계",https://library.kangwon.ac.kr/community/bulletin/notice/20327?max=100&offset=1800&bulletinCategoryId=1,
총장배 독서토론대회 참가팀 예선전 안내(참가접수팀 필독),2013년 10월 08일,"제2회 총장배 독서토론대회 예선전 안내입니다.
일시 : 2013. 10. 10.(목) 16:00 ~ 18:30
장소 : 중앙도서관 멀티미디어실
참가팀 : 19개팀
예선전 개요
- 방법 : 1.한타임(8분 내외) 에 2개팀이 출전하여 의사전달력, 설득력, 순발력 등으로 결정함
2. 19개팀 중 최다 득점 순으로 본선진출 8개팀 선발
3. 동점일 경우 고학년이 많은 팀 우선 선발
- 시간 : 8분~10분
- 참가팀 자격 : 1. 독서토론대회 참가신청서를 제출한 팀(3인1조)
2. 예선전은 팀원 모두가 참석하는 것이 원칙이나 불가피한 경우 최소 2명은 참석해야함.
본선진출팀 발표 : 2013. 10. 14.(월) 10시. 도서관 홈페이지
문의 : 멀티미디어실(033-250-8013)

",https://library.kangwon.ac.kr/community/bulletin/notice/20325?max=100&offset=1800&bulletinCategoryId=1,
중간고사기간 도서관 열람실 연장 개방 안내,2013년 10월 08일,"도서관 열람실연장 개방안내

2013학년도 2학기 중간고사 기간동안 일반열람실을
아래와 같이 연장개방하오니 이용에 참고하시기 바랍니다.

1. 기간 : 10월17일 ~ 10월30일
2. 시간 : 05시 ~ 익일 02시
3. 대상 : 중앙도서관 일반 열람실 전체
(단, 별관열람실은 24시간 개방)
4. 위 기간동안도서관회원제 회원의 일반열람실 이용이 제한됩니다.

중 앙 도 서 관 장",https://library.kangwon.ac.kr/community/bulletin/notice/20324?max=100&offset=1800&bulletinCategoryId=1,
화학분야 데이타베이스 SciFinder 특강 안내,2013년 10월 07일,"도서관에서는 화학분야 연구자들의효율적인 학습 및 연구활동을 지원하기 위하여 화학 및 과학기술 관련 학술 데이타베이스인 SciFinder Academic의 이용방법을 다음과 같이 소개하고자 합니다. 화학 이외에 약학, 식품가공학 분야에서도 많이 필요한 데이타베이스이오니많은 관심과 참여 바랍니다.
◈특강일정 및 내용
특강명
특강내용
일시
장 소
SciFinder
화학분야를 비롯해 과학기술분야의 문헌정보와 특허정보를 제공하며
구조식검색을 통한화합물정보와 반응검색을
통한화합물 반응을 검색
2013.10.15(화)
14시-15시
도서관 4층
멀티미디어실
◈신청 방법
1.신청바로가기
2.도서관홈페이지 &rarr; 강의연구지원서비스 &rarr; 도서관 이용교육 &rarr; 교육일정&rarr;
해당교육 클릭 &rarr; 신청
◈전화문의(☎250-8025 이월계)",https://library.kangwon.ac.kr/community/bulletin/notice/20323?max=100&offset=1800&bulletinCategoryId=1,
